Id,MAT,TDR,TSN,MTWM,MTCM,TAR,MTWQ,MTDQ,MTAQ,MTCQ,MAP,PWM,PDM,PSN,PWQ,PDQ,PAQ,PCQ,AET,PET,NPP,ME,RE,CVE
753,21.2343006,14.7721004,389.2170105,31.4202003,6.27845,25.1417007,24.8705006,15.8502998,24.9400005,15.8502998,391.5119934,83.9504013,1,93.3989029,226.0829926,4.7768602,203.901001,4.7768602,364.5400085,1613.969971,438,763,423,6.57
754,21.2322006,14.7124996,379.7319946,31.3656006,6.4025798,24.9629993,24.7772999,15.9764996,24.8500996,15.9764996,435.6279907,94.4380035,1.22314,91.5944977,249.8179932,8.6528902,230,8.6528902,392.1380005,1582.430054,473,692,472,8.96
755,21.4386005,14.8340998,376.1759949,31.6760006,6.5818501,25.094101,24.9459991,16.2324009,25.0492001,16.2324009,436.802002,97.0661011,1.04959,92.6361008,253.098999,8.1818199,233.7359924,8.1818199,404.881012,1549.969971,542,647,635,8.87
756,21.9148006,14.5972996,389.3259888,32.2252998,7.0852599,25.1401005,25.6327,16.5270004,25.7418995,16.5270004,456.0079956,103.7440033,1.34711,95.9091034,273.57901,7.3140502,248.6779938,7.3140502,439.2590027,1535.699951,526,544,377,8.11
757,22.5688,14.4728003,361.1359863,32.6570015,8.38344,24.2735004,26.0862007,17.5711002,26.1483002,17.5711002,547.9589844,118.2559967,3.10744,94.0375977,327.7929993,11.9917002,298.7189941,11.9917002,521.0239868,1522.949951,496,483,354,7.64
758,23.0881996,14.632,324.9880066,32.9874992,9.4562302,23.5312996,26.3400002,18.6018009,26.3465996,18.6018009,612.2150269,124.1240005,4.3471098,91.9580002,362.7850037,17.7933998,350.5539856,17.7933998,565.8449707,1505.640015,466,451,407,9.94
759,23.3103008,13.8952999,314.1919861,32.6839981,10.1436005,22.5403996,26.4550991,19.0074997,26.4550991,18.9584007,556.2479858,112.2559967,3.64463,91.9583969,327.5700073,17.0909004,327.5700073,17.1240005,519.0209961,1489.560059,472,355,384,19.22
760,23.5293007,13.5586996,321.1759949,32.5984993,10.1108999,22.4876003,26.6641998,20.2360992,26.6644001,19.0487995,555.7020264,112.0910034,2.99174,92.5987015,325.802002,15.4298,324.9830017,16.9090996,528.4099731,1460.160034,463,255,291,24.6
761,23.9827003,13.3058004,333.4379883,32.9958,10.2679005,22.7278996,27.2028008,20.8383007,27.2028008,19.3113995,604.3309937,120.5699997,3.22314,93.0781021,355.7770081,14.7521,355.197998,18.8430004,557.2189941,1450.630005,463,172,241,24.82
762,23.9533997,12.9309998,311.9039917,32.7182007,10.967,21.7511005,26.9491997,20.9619007,26.9529991,19.5694008,640.7930298,134.9920044,3.6115699,95.4768982,387.0249939,15.4710999,366.8179932,19.1982994,580.3280029,1418.300049,483,121,134,23
