Id,MAT,TDR,TSN,MTWM,MTCM,TAR,MTWQ,MTDQ,MTAQ,MTCQ,MAP,PWM,PDM,PSN,PWQ,PDQ,PAQ,PCQ,AET,PET,NPP,ME,RE,CVE
710,22.1868,11.7890997,68.2108994,29.5319004,14.2563,15.2756004,22.5331001,21.4290009,22.8267002,21.2311993,850.6719971,146.2749939,6.2396698,67.0122986,366.2980042,41.3904991,189.5950012,46.0495987,835.7689819,1558.689941,613,1201,530,8.15
711,19.6182003,12.1295996,97.299202,27.0806999,11.2586002,15.8220997,20.4620991,18.1837006,20.4838009,18.1837006,797.7709961,135.2480011,11.7769003,65.9040985,351.9670105,50.6529007,322.4070129,50.6529007,835.7689819,1558.689941,957,1407,671,8.42
712,21.5189991,11.5340004,124.9800034,29.3882999,13.7612,15.6271,22.6324997,19.8421001,22.7542,19.7084999,553.0479736,115.1399994,3.73141,83.1087036,272.7909851,13.4215002,233.9790039,15.1798,792.0109863,1450.400024,907,1773,2030,18.06
713,20.6945,11.4364996,138.5079956,29.1506004,13.1561003,15.9945002,21.6361008,18.9729996,22.1289997,18.7026997,599.3909912,138.4689941,2.2190101,85.0323029,290.5539856,11.8140001,216.3970032,14.7168999,511.7550049,1633.859985,594,1183,1939,37.5
714,21.8684006,11.5289001,148.5859985,30.5501003,14.1070004,16.4430008,22.5477009,19.9153996,23.4680996,19.7618008,687.25,166.4340057,3.07025,97.0804977,328.4689941,13.0186005,222.8179932,16.0454998,558.8239746,1460.530029,667,1356,1022,16.89
715,24.9407005,9.9332199,143.3179932,32.4343987,17.9571991,14.4771996,25.4613991,22.9741993,26.5284004,22.9685001,747.1879883,165.8059998,11.2459002,90.6479034,353.4880066,39.2602997,254.2149963,39.4070015,582.440979,1539.800049,605,774,1422,24.65
716,24.5114994,7.6784201,127.0510025,30.2987995,18.6886005,11.6101999,24.875,22.6257,25.6882,22.6257,2025.930054,378.2290039,2.4586799,72.5100021,893.6690063,27.0825996,679.1859741,27.0825996,884.0130005,966.5380249,1207,365,776,38.68
717,23.2059994,7.8926301,110.6340027,28.9351006,17.594101,11.3410997,23.4738998,21.5765991,24.2539005,21.5765991,1906.030029,330.7869873,2.5413201,69.6195984,827.2210083,26.0681992,639.617981,26.0681992,896.6569824,984.5629883,1237,523,699,25.72
718,23.7080994,8.1110601,92.9412994,29.3777008,18.3691998,11.0084,23.8430004,22.3792,24.6560993,22.3792,1812.449951,279.5169983,6.9421501,63.1529999,729.7150269,41.6259995,622.2379761,41.6259995,928.6900024,1010.229981,1191,341,614,28.33
719,24.3637009,9.1602201,71.7890015,30.3477001,18.7784004,11.5692997,24.2996998,23.4223003,25.1758995,23.4223003,1888.150024,272.2600098,15.0123997,57.4972,719.8800049,70.2975006,637.7249756,70.2975006,981.6270142,1074.660034,931,447,384,21.51
720,24.6963997,9.78267,63.838501,30.8409004,18.7607002,12.0802002,24.6634007,23.9099998,25.4829998,23.9099998,1729.040039,244.3119965,20.75,49.2080002,608.0189819,114.2190018,582.697998,114.6449966,1044.589966,1151.380005,667,551,288,10.9
721,25.1686993,9.6712399,55.8849983,31.1096992,19.4508991,11.6588001,24.9381008,24.5245991,25.8715,24.5226002,1641.869995,225.5679932,23.1818008,44.9361992,594.5679932,146.2870026,513.6589966,157.6759949,1078.140015,1179.040039,783,404,302,16.34
722,25.2143002,9.2971497,52.3549995,30.9018993,19.8421993,11.0598001,24.9564991,24.6184998,25.8572006,24.6121006,1667.52002,220.7850037,37.1281013,38.5438004,595.1779785,198.6069946,485.7619934,253.2910004,1100.449951,1178.25,761,304,80,3.89
723,25.1930008,9.2109699,53.8769989,30.8486004,19.8568001,10.9918003,24.9414997,24.5566998,25.8412991,24.5457993,1753.699951,219.9259949,59.1652985,31.7653008,598.5759888,265.8179932,462.6759949,321.5700073,1116.959961,1169.329956,861,327,291,12.85
724,25.0750008,9.4048901,57.4427986,30.8218002,19.7171001,11.1047001,24.8192997,24.3959999,25.7714996,24.3845997,1877.48999,214.7870026,81.2148972,26.5137005,618.6380005,333.1069946,466.0830078,390.0409851,1125.839966,1168.089966,835,403,271,15.54
725,25.5219002,9.5439596,63.2910004,31.5683002,20.0874004,11.4808998,25.2133999,24.8992996,26.3288994,24.7992992,1986.790039,227.6450043,102.2669983,23.9036999,647.3800049,376.2929993,476.5969849,462.4379883,1124.530029,1164.790039,1062,420,147,7.08
726,25.7710991,9.5932598,64.9108963,31.9092007,20.2831001,11.6260996,25.4407005,25.3211994,26.6231003,25.0386009,2067.290039,245.8950043,117.9919968,23.8255997,683.8220215,404.0889893,488.8099976,492.2399902,1107.459961,1149.060059,1090,411,95,4.66
727,25.1375999,9.6752005,51.8376999,31.0156002,19.8089008,11.2067003,24.8656998,25.1042995,25.7999992,24.5128002,2114.919922,250.1450043,125.4690018,23.2346992,700.5250244,422.0809937,493.5369873,526.2189941,1102.430054,1134.099976,1005,424,61,3.1
728,24.8925991,9.7995501,54.046299,30.8512993,19.4645996,11.3867998,24.6077003,24.9167995,25.5939999,24.2590008,2089.139893,245.522995,122.5699997,23.1646996,689.552002,410.1409912,496.6409912,541.2620239,1081.729981,1120.609985,1066,437,64,3.23
729,25.1467991,9.6740704,52.850399,31.0596008,19.7805996,11.2790003,24.8418007,25.1459007,25.8358994,24.5342007,1989.349976,236.0169983,113.8310013,24.0853004,654.9569702,384.9790039,488.4519958,507.4070129,1066.560059,1117.650024,1164,444,55,2.96
730,25.2133007,9.5433502,49.9701004,30.9981995,19.8764,11.1218996,24.8696995,25.1676998,25.8421001,24.6249008,1915.719971,234.2290039,104.8550034,25.3313999,624.4030151,364.1140137,491.4710083,460.5,1069.729981,1124.630005,1191,460,238,7.55
